date,daily_sentiment_score,news_count
2011-06-22,0.002044797,1
2012-02-01,-0.9882897,1
2012-03-22,-0.99949586,1
2012-08-22,-0.8242965,1
2012-09-07,-0.37150443,2
2012-10-29,-0.99978614,1
2012-11-30,-0.29179794,1
2012-12-09,-0.99997294,1
2013-01-29,0.99942154,1
2013-02-21,-0.99715,1
2013-02-27,-0.99994165,1
2013-03-11,-0.30164346,1
2013-03-22,-0.99940723,1
2013-03-28,0.005321175,2
2013-03-29,-0.9999979,1
2013-04-01,0.32852784,3
2013-04-02,-0.9257851,6
2013-04-03,-0.57949936,8
2013-04-04,-0.329911,3
2013-04-08,-0.9935734,6
2013-04-09,-0.68613076,8
2013-04-10,-0.37875563,15
2013-04-11,-0.37072387,28
2013-04-12,-0.34287193,16
2013-04-13,-0.0006089299,1
2013-04-14,-0.3963826,1
2013-04-15,-0.6354105,3
2013-04-16,-0.9969825,1
2013-04-17,-0.66547114,3
2013-04-19,-0.99833596,1
2013-04-23,-0.9984333,1
2013-04-25,-0.11380562,2
2013-04-26,-0.9909918,2
2013-04-29,-0.99854106,3
2013-04-30,-0.9163553,3
2013-05-01,-0.9997948,3
2013-05-02,-0.99992573,1
2013-05-03,-0.98387617,3
2013-05-04,-0.87306774,1
2013-05-06,-0.9969825,1
2013-05-07,-0.012834419,1
2013-05-08,-0.9992971,1
2013-05-09,-0.97911835,1
2013-05-10,-0.9999369,1
2013-05-13,-0.99956656,2
2013-05-15,-0.94465977,1
2013-05-17,-0.999991,1
2013-05-19,-0.9999224,1
2013-05-20,0.9904834,1
2013-05-22,-0.9898678,1
2013-05-29,-5.151828e-05,3
2013-05-30,-0.9969825,1
2013-06-03,0.27017125,1
2013-06-04,-0.99992496,1
2013-06-10,-0.9996166,1
2013-06-13,-0.14741282,1
2013-06-22,-0.9166585,1
2013-06-24,-0.998873,1
2013-06-27,-0.99997145,1
2013-06-28,-0.48805818,5
2013-07-02,-0.91036564,6
2013-07-07,-0.99701256,1
2013-07-08,-0.9999039,1
2013-07-09,-0.94480234,1
2013-07-11,-0.93892103,1
2013-07-15,-0.9956767,1
2013-07-16,-0.093777746,1
2013-07-17,-0.9977805,1
2013-07-22,-0.998847,1
2013-07-23,0.9999939,1
2013-07-29,-0.996347,1
2013-07-30,-0.26829943,2
2013-08-01,-4.517545e-08,1
2013-08-05,-0.9979599,1
2013-08-12,-0.9994915,1
2013-08-15,-0.94020057,2
2013-08-16,0.9999968,1
2013-08-28,-0.99515456,2
2013-09-04,-0.99979585,1
2013-09-05,-0.997301,1
2013-09-10,-0.5157324,2
2013-09-11,-0.49238157,1
2013-09-12,-0.9967995,3
2013-09-13,-0.9998753,1
2013-09-16,-0.99997944,1
2013-09-17,-0.99952626,1
2013-09-19,-0.99825597,3
2013-09-20,-0.97721004,4
2013-09-25,-0.99980336,2
2013-09-26,-0.9658104,2
2013-09-27,-0.999959,2
2013-09-28,-0.17948873,1
2013-10-01,0.0070964824,1
2013-10-02,-0.9387791,9
2013-10-03,-0.8517559,7
2013-10-07,-0.5933326,2
2013-10-09,-0.99982077,1
2013-10-10,-0.9939624,1
2013-10-13,-0.99977815,1
2013-10-15,-0.9998997,3
2013-10-16,-0.9868631,1
2013-10-17,-0.58331466,2
2013-10-21,-0.9947318,2
2013-10-22,-0.99981064,1
2013-10-23,-0.94701266,1
2013-10-24,-0.49849206,2
2013-10-26,-0.9999671,1
2013-10-28,-0.9999753,1
2013-10-29,-0.99922144,4
2013-10-30,-0.99962425,1
2013-10-31,-0.9971765,1
2013-11-01,-0.99991304,1
2013-11-03,-0.9223848,4
2013-11-04,-0.9995025,1
2013-11-05,-0.4203612,3
2013-11-06,-0.30113563,3
2013-11-07,-0.486509,8
2013-11-08,-0.98155606,2
2013-11-10,-0.98927206,2
2013-11-12,-0.83221644,6
2013-11-13,-0.98689353,4
2013-11-14,-0.99998975,1
2013-11-15,-0.9978922,3
2013-11-16,0.02498886,1
2013-11-17,-0.9589106,1
2013-11-18,-0.7363306,8
2013-11-19,-0.9923236,9
2013-11-20,-0.5596174,10
2013-11-21,-0.99791396,10
2013-11-22,-0.8999022,5
2013-11-23,-0.99229336,1
2013-11-24,-2.672047e-05,1
2013-11-25,-0.99698895,8
2013-11-26,-0.49960515,2
2013-11-27,-0.45114368,13
2013-11-28,-0.9815107,4
2013-11-29,-0.98176926,8
2013-12-01,-0.9935081,3
2013-12-02,-0.7990419,8
2013-12-03,-0.59106356,5
2013-12-04,-0.4992227,18
2013-12-05,-0.59018683,26
2013-12-06,-0.61722183,8
2013-12-08,-0.9998874,2
2013-12-09,-0.9969825,1
2013-12-10,-0.75970584,12
2013-12-11,-0.79543,16
2013-12-12,-0.99989533,2
2013-12-13,-0.17065118,8
2013-12-14,-0.98621243,4
2013-12-15,-0.88063145,2
2013-12-16,0.27321005,4
2013-12-17,-0.47420758,15
2013-12-18,-0.46732584,18
2013-12-19,-0.9966097,3
2013-12-20,-0.99939585,2
2013-12-21,-0.9974849,1
2013-12-22,-0.9997145,2
2013-12-23,-0.8273723,6
2013-12-24,-0.49967182,4
2013-12-26,0.04780245,4
2013-12-27,-0.80024844,5
2013-12-30,-0.8462762,7
2013-12-31,-0.97308385,4
2014-01-02,-0.7742598,4
2014-01-05,-0.9441656,2
2014-01-06,-0.89060426,3
2014-01-07,-0.9823206,2
2014-01-08,-0.9612488,8
2014-01-09,-0.00016141272,2
2014-01-10,-0.27615663,6
2014-01-11,-0.9993857,2
2014-01-12,-0.985725,2
2014-01-13,-0.8238287,12
2014-01-14,-0.77772135,9
2014-01-15,-0.99904627,2
2014-01-16,-0.99936736,1
2014-01-17,-0.82188374,6
2014-01-18,-0.9931777,2
2014-01-19,-0.9992833,3
2014-01-20,-0.99582607,4
2014-01-21,-0.8700781,7
2014-01-22,-0.9997715,4
2014-01-23,-0.33268276,3
2014-01-24,-0.9551671,7
2014-01-27,-0.736377,13
2014-01-28,-0.6589815,6
2014-01-29,-0.98813623,6
2014-01-30,-0.40672532,5
2014-01-31,-0.96575874,3
2014-02-01,-0.4777355,1
2014-02-02,-0.999593,1
2014-02-03,-0.49045196,2
2014-02-04,-0.85092515,4
2014-02-05,-0.3494648,3
2014-02-06,-0.8747031,3
2014-02-07,-0.96775603,8
2014-02-08,-0.9999856,1
2014-02-09,-0.015106618,4
2014-02-10,0.23823127,11
2014-02-11,-0.20776083,8
